'cos; k ˈ ə z
restaurants; ɹ ˈ ɛ s t ɹ ˌ ɒ n t s
restaurants; ɹ ˈ ɛ s t ə ɹ ˌ ɒ n t s
resting; ɹ ˈ ɛ s t ɪ ŋ
restoration; ɹ ˌ ɛ s t ə ɹ ˈ eɪ ʃ ə n
restore; ɹ ɪ s t ˈ ɔː
restored; ɹ ɪ s t ˈ ɔː d
restrain; ɹ ɪ s t ɹ ˈ eɪ n
restraint; ɹ ɪ s t ɹ ˈ eɪ n t
restrict; ɹ ɪ s t ɹ ˈ ɪ k t
restricted; ɹ ɪ s t ɹ ˈ ɪ k t ɪ d
restriction; ɹ ɪ s t ɹ ˈ ɪ k ʃ ə n
restrictions; ɹ ɪ s t ɹ ˈ ɪ k ʃ ə n z
restrictive; ɹ ɪ s t ɹ ˈ ɪ k t ɪ v
restructuring; ɹ ɪ s t ɹ ˈ ʌ k t͡ʃ ə ɹ ɪ ŋ
result; ɹ ɪ z ˈ ʌ l t
resulted; ɹ ɪ z ˈ ʌ l t ɪ d
resulting; ɹ ɪ z ˈ ʌ l t ɪ ŋ
results; ɹ ɪ z ˈ ʌ l t s
resume; ɹ ɪ z j ˈ uː m
resume; ɹ ˈ ɛ z ə m ˌ eɪ
resumes; ɹ ɪ z j ˈ uː m z
resumes; ɹ ˈ ɛ z ə m ˌ eɪ z
retail; ɹ ˈ iː t ˌ eɪ l
retailer; ɹ ˈ iː t ˌ eɪ l ə
retailers; ɹ ˈ iː t ˌ eɪ l ə z
retailing; ɹ ˈ iː t ˌ eɪ l ɪ ŋ
retain; ɹ ɪ t ˈ eɪ n
retained; ɹ ɪ t ˈ eɪ n d
retch; ɹ ˈ ɛ t͡ʃ
retention; ɹ ɪ t ˈ ɛ n ʃ ə n
retire; ɹ ɪ t ˈ aɪ ə
retired; ɹ ɪ t ˈ aɪ ə d
retirement; ɹ ɪ t ˈ aɪ ə m ə n t
retreat; ɹ ɪ t ɹ ˈ iː t
retrieval; ɹ ɪ t ɹ ˈ iː v ə l
retrieve; ɹ ɪ t ɹ ˈ iː v
retrieved; ɹ ɪ t ɹ ˈ iː v d
retro; ɹ ˈ ɛ t ɹ əʊ
retrofit; ɹ ˈ ɛ t ɹ əʊ f ˌ ɪ t
retrofitted; ɹ ˈ ɛ t ɹ əʊ f ˌ ɪ t ɪ d
return; ɹ ɪ t ˈ ɜː n
returned; ɹ ɪ t ˈ ɜː n d
returning; ɹ ɪ t ˈ ɜː n ɪ ŋ
returns; ɹ ɪ t ˈ ɜː n z
reunion; ɹ iː j ˈ uː n j ə n
reuters; ɹ ˈ ɔɪ t ə z
rev; ɹ ˈ ɛ v
reveal; ɹ ɪ v ˈ iː l
revealed; ɹ ɪ v ˈ iː l d
revealing; ɹ ɪ v ˈ iː l ɪ ŋ
reveals; ɹ ɪ v ˈ iː l z
revel; ɹ ˈ ɛ v ə l
revelation; ɹ ˌ ɛ v ə l ˈ eɪ ʃ ə n
revenge; ɹ ɪ v ˈ ɛ n d͡ʒ
revenue; ɹ ˈ ɛ v ə n j ˌ uː
revenues; ɹ ˈ ɛ v ə n j ˌ uː z
reverend; ɹ ˈ ɛ v ɹ ə n d
reverend; ɹ ˈ ɛ v ə ɹ ə n d
reverse; ɹ ɪ v ˈ ɜː s
revert; ɹ ɪ v ˈ ɜː t
review; ɹ ɪ v j ˈ uː
reviewed; ɹ ɪ v j ˈ uː d
reviewer; ɹ ɪ v j ˈ uː ə
reviewing; ɹ ɪ v j ˈ uː ɪ ŋ
reviews; ɹ ɪ v j ˈ uː z
revise; ɹ ɪ v ˈ aɪ z
revised; ɹ ɪ v ˈ aɪ z d
revision; ɹ ɪ v ˈ ɪ ʒ ə n
revisions; ɹ ɪ v ˈ ɪ ʒ ə n z
revival; ɹ ɪ v ˈ aɪ v ə l
revive; ɹ ɪ v ˈ aɪ v
revolting; ɹ ɪ v ˈ əʊ l t ɪ ŋ
revolution; ɹ ˌ ɛ v ə l ˈ uː ʃ ə n
revolutionary; ɹ ˌ ɛ v ə l ˈ uː ʃ ə n ə ɹ i
revolve; ɹ ɪ v ˈ ɒ l v
reward; ɹ ɪ w ˈ ɔː d
rewards; ɹ ɪ w ˈ ɔː d z
rewrite; ɹ iː ɹ ˈ aɪ t
rewrite; ɹ ˈ iː ɹ ˌ aɪ t
reykjavik; ɹ ˈ eɪ k j ə v ˌ iː k
reykjavik; ɹ ˈ eɪ k j ə v ˌ ɪ k
rhetoric; ɹ ˈ ɛ t ə ɹ ɪ k
rhino; ɹ ˈ aɪ n əʊ
rhinoceros; ɹ aɪ n ˈ ɒ s ə ɹ ə s
rhode; ɹ ˈ əʊ d
rhubarb; ɹ ˈ uː b ɑː b
rhyme; ɹ ˈ aɪ m
rhythm; ɹ ˈ ɪ ð ə m
rib; ɹ ˈ ɪ b
ribbed; ɹ ˈ ɪ b d
ribbon; ɹ ˈ ɪ b ə n
ribs; ɹ ˈ ɪ b z
rice; ɹ ˈ aɪ s
rich; ɹ ˈ ɪ t͡ʃ
richard; ɹ ˈ ɪ t͡ʃ ə d
riches; ɹ ˈ ɪ t͡ʃ ɪ z
richmond; ɹ ˈ ɪ t͡ʃ m ə n d
rick; ɹ ˈ ɪ k
ricky; ɹ ˈ ɪ k i
rid; ɹ ˈ ɪ d
ridded; ɹ ˈ ɪ d ɪ d
ridden; ɹ ˈ ɪ d ə n
riddle; ɹ ˈ ɪ d ə l
riddled; ɹ ˈ ɪ d ə l d
ride; ɹ ˈ aɪ d
rider; ɹ ˈ aɪ d ə
riders; ɹ ˈ aɪ d ə z
rides; ɹ ˈ aɪ d z
ridge; ɹ ˈ ɪ d͡ʒ
ridiculous; ɹ ɪ d ˈ ɪ k j ʊ l ə s
riding; ɹ ˈ aɪ d ɪ ŋ
rife; ɹ ˈ aɪ f
riff; ɹ ˈ ɪ f
rifle; ɹ ˈ aɪ f ə l
rift; ɹ ˈ ɪ f t
rig; ɹ ˈ ɪ g
riga; ɹ ˈ iː g ə
right; ɹ ˈ aɪ t
rightly; ɹ ˈ aɪ t l i
rights; ɹ ˈ aɪ t s
rigid; ɹ ˈ ɪ d͡ʒ ɪ d
rile; ɹ ˈ aɪ l
rim; ɹ ˈ ɪ m
rind; ɹ ˈ aɪ n d
ring; ɹ ˈ ɪ ŋ
ringing; ɹ ˈ ɪ ŋ ɪ ŋ
rings; ɹ ˈ ɪ ŋ z
ringtone; ɹ ˈ ɪ ŋ t ˌ əʊ n
ringtones; ɹ ˈ ɪ ŋ t ˌ əʊ n z
rink; ɹ ˈ ɪ ŋ k
rinse; ɹ ˈ ɪ n s
riot; ɹ ˈ aɪ ə t
rip; ɹ ˈ ɪ p
ripe; ɹ ˈ aɪ p
ripen; ɹ ˈ aɪ p ə n
ripped; ɹ ˈ ɪ p t
rise; ɹ ˈ aɪ z
risen; ɹ ˈ ɪ z ə n
rises; ɹ ˈ aɪ z ɪ z
rising; ɹ ˈ aɪ z ɪ ŋ
risk; ɹ ˈ ɪ s k
risks; ɹ ˈ ɪ s k s
risky; ɹ ˈ ɪ s k i
rita; ɹ ˈ iː t ə
rite; ɹ ˈ aɪ t
ritual; ɹ ˈ ɪ t͡ʃ ʊə l
ritz; ɹ ˈ ɪ t s
rival; ɹ ˈ aɪ v ə l
rivals; ɹ ˈ aɪ v ə l z
river; ɹ ˈ ɪ v ə
rivers; ɹ ˈ ɪ v ə z
riverside; ɹ ˈ ɪ v ə s ˌ aɪ d
rivet; ɹ ˈ ɪ v ɪ t
riveting; ɹ ˈ ɪ v ɪ t ɪ ŋ
roach; ɹ ˈ əʊ t͡ʃ
road; ɹ ˈ əʊ d
roads; ɹ ˈ əʊ d z
roam; ɹ ˈ əʊ m
roar; ɹ ˈ ɔː
roaring; ɹ ˈ ɔː ɹ ɪ ŋ
roast; ɹ ˈ əʊ s t
rob; ɹ ˈ ɒ b
robbed; ɹ ˈ ɒ b d
robbery; ɹ ˈ ɒ b ə ɹ i
robe; ɹ ˈ əʊ b
robert; ɹ ˈ ɒ b ə t
roberts; ɹ ˈ ɒ b ə t s
robin; ɹ ˈ ɒ b ɪ n
robinson; ɹ ˈ ɒ b ɪ n s ə n
robot; ɹ ˈ əʊ b ˌ ɒ t
robots; ɹ ˈ əʊ b ˌ ɒ t s
robust; ɹ əʊ b ˈ ʌ s t
rochester; ɹ ˈ ɒ t͡ʃ ɪ s t ə
rock; ɹ ˈ ɒ k
rocket; ɹ ˈ ɒ k ɪ t
rocks; ɹ ˈ ɒ k s
rocky; ɹ ˈ ɒ k i
rod; ɹ ˈ ɒ d
rode; ɹ ˈ əʊ d
rodeo; ɹ ˈ əʊ d ɪ ˌ əʊ
roger; ɹ ˈ ɒ d͡ʒ ə
rogers; ɹ ˈ ɒ d͡ʒ ə z
rogue; ɹ ˈ əʊ g
role; ɹ ˈ əʊ l
roles; ɹ ˈ əʊ l z
roll; ɹ ˈ əʊ l
rolled; ɹ ˈ əʊ l d
roller; ɹ ˈ əʊ l ə
rolling; ɹ ˈ əʊ l ɪ ŋ
rolls; ɹ ˈ əʊ l z
rom; ɹ ˈ ɒ m
roman; ɹ ˈ əʊ m ə n
romance; ɹ ˈ əʊ m æ n s
romance; ɹ ə m ˈ æ n s
romania; ɹ əʊ m ˈ eɪ n ɪə
romans; ɹ ˈ əʊ m ə n z
romantic; ɹ ə m ˈ æ n t ɪ k
romantic; ɹ əʊ m ˈ æ n t ɪ k
rome; ɹ ˈ əʊ m
romeo; ɹ ˈ əʊ m ɪ ˌ əʊ
romp; ɹ ˈ ɒ m p
roms; ɹ ˈ ɒ m z
ron; ɹ ˈ ɒ n
ronald; ɹ ˈ ɒ n ə l d
roof; ɹ ˈ uː f
roof; ɹ ˈ ʊ f
roofs; ɹ ˈ uː f s
roofs; ɹ ˈ ʊ f s
rook; ɹ ˈ ʊ k
room; ɹ ˈ uː m
roommate; ɹ ˈ uː m ˌ eɪ t
roommates; ɹ ˈ uː m ˌ eɪ t s
rooms; ɹ ˈ uː m z
roost; ɹ ˈ uː s t
root; ɹ ˈ uː t
roots; ɹ ˈ uː t s
rope; ɹ ˈ əʊ p
rose; ɹ ˈ əʊ z
rosemary; ɹ ˈ əʊ z m ə ɹ i
roses; ɹ ˈ əʊ z ɪ z
rosie; ɹ ˈ əʊ z i
ross; ɹ ˈ ɒ s
roster; ɹ ˈ ɒ s t ə
rosy; ɹ ˈ əʊ z i
rot; ɹ ˈ ɒ t
rota; ɹ ˈ əʊ t ə
rotary; ɹ ˈ əʊ t ə ɹ i
rotate; ɹ əʊ t ˈ eɪ t
rotation; ɹ əʊ t ˈ eɪ ʃ ə n
rote; ɹ ˈ əʊ t
rotherham; ɹ ˈ ɒ ð ə ɹ ə m
rotten; ɹ ˈ ɒ t ə n
rouge; ɹ ˈ uː ʒ
rough; ɹ ˈ ʌ f
roughly; ɹ ˈ ʌ f l i
roulette; ɹ uː l ˈ ɛ t
round; ɹ ˈ aʊ n d
roundabout; ɹ ˈ aʊ n d ə b ˌ aʊ t
rounds; ɹ ˈ aʊ n d z
rouse; ɹ ˈ aʊ z
rout; ɹ ˈ aʊ t
route; ɹ ˈ uː t
router; ɹ ˈ uː t ə
router; ɹ ˈ aʊ t ə
routers; ɹ ˈ uː t ə z
routers; ɹ ˈ aʊ t ə z
routes; ɹ ˈ uː t s
routine; ɹ uː t ˈ iː n
routines; ɹ uː t ˈ iː n z
routing; ɹ ˈ uː t ɪ ŋ
routing; ɹ ˈ aʊ t ɪ ŋ
rove; ɹ ˈ əʊ v
rover; ɹ ˈ əʊ v ə
roving; ɹ ˈ əʊ v ɪ ŋ
row; ɹ ˈ əʊ
row; ɹ ˈ aʊ
rowdy; ɹ ˈ aʊ d i
rows; ɹ ˈ əʊ z
rows; ɹ ˈ aʊ z
roy; ɹ ˈ ɔɪ
royal; ɹ ˈ ɔɪ ə l
royalty; ɹ ˈ ɔɪ ə l t i
rub; ɹ ˈ ʌ b
rubber; ɹ ˈ ʌ b ə
rubbing; ɹ ˈ ʌ b ɪ ŋ
rubbish; ɹ ˈ ʌ b ɪ ʃ
ruby; ɹ ˈ uː b i
ruddy; ɹ ˈ ʌ d i
rude; ɹ ˈ uː d
rudy; ɹ ˈ uː d i
rue; ɹ ˈ uː
ruffle; ɹ ˈ ʌ f ə l
rug; ɹ ˈ ʌ g
rugby; ɹ ˈ ʌ g b i
rugged; ɹ ˈ ʌ g ɪ d
rugs; ɹ ˈ ʌ g z
ruin; ɹ ˈ uː ɪ n
ruined; ɹ ˈ uː ɪ n d
ruislip; ɹ ˈ aɪ s l ɪ p
rule; ɹ ˈ uː l
ruled; ɹ ˈ uː l d
ruler; ɹ ˈ uː l ə
rules; ɹ ˈ uː l z
ruling; ɹ ˈ uː l ɪ ŋ
rum; ɹ ˈ ʌ m
rumble; ɹ ˈ ʌ m b ə l
rumbling; ɹ ˈ ʌ m b l ɪ ŋ
rumor; ɹ ˈ uː m ə
rumors; ɹ ˈ uː m ə z
rumour; ɹ ˈ uː m ə
rumours; ɹ ˈ uː m ə z
rump; ɹ ˈ ʌ m p
run; ɹ ˈ ʌ n
rung; ɹ ˈ ʌ ŋ
runner; ɹ ˈ ʌ n ə
runners; ɹ ˈ ʌ n ə z
running; ɹ ˈ ʌ n ɪ ŋ
runs; ɹ ˈ ʌ n z
runt; ɹ ˈ ʌ n t
rupert; ɹ ˈ uː p ə t
rural; ɹ ˈ ʊə ɹ ə l
ruse; ɹ ˈ uː z
rush; ɹ ˈ ʌ ʃ
rushed; ɹ ˈ ʌ ʃ t
rushing; ɹ ˈ ʌ ʃ ɪ ŋ
russell; ɹ ˈ ʌ s ə l
russia; ɹ ˈ ʌ ʃ ə
russian; ɹ ˈ ʌ ʃ ə n
russians; ɹ ˈ ʌ ʃ ə n z
rust; ɹ ˈ ʌ s t
rusty; ɹ ˈ ʌ s t i
rut; ɹ ˈ ʌ t
ruth; ɹ ˈ uː θ
rwanda; ɹ ʊ ˈ æ n d ə
rwanda; ɹ uː ˈ æ n d ə
ryan; ɹ ˈ aɪ ə n
rye; ɹ ˈ aɪ
saboteur; s ˌ æ b ə t ˈ ɜː
sack; s ˈ æ k
sacramento; s ˌ æ k ɹ ə m ˈ ɛ n t əʊ
sacred; s ˈ eɪ k ɹ ɪ d
sacrifice; s ˈ æ k ɹ ɪ f ˌ aɪ s
sacrilegious; s ˌ æ k ɹ ˈ ɪ l ɪ d͡ʒ ə s
sad; s ˈ æ d
saddam; s æ d ˈ æ m
saddle; s ˈ æ d ə l
sadly; s ˈ æ d l i
sadness; s ˈ æ d n ɪ s
safari; s ə f ˈ ɑː ɹ i
safe; s ˈ eɪ f
safely; s ˈ eɪ f l i
safer; s ˈ eɪ f ə
safety; s ˈ eɪ f t i
sag; s ˈ æ g
saga; s ˈ ɑː g ə
sage; s ˈ eɪ d͡ʒ
said; s ˈ ɛ d
sail; s ˈ eɪ l
sailing; s ˈ eɪ l ɪ ŋ
sailor; s ˈ eɪ l ə
sainsbury; s ˈ eɪ n z b ɹ i
saint; s ˈ eɪ n t
saints; s ˈ eɪ n t s
sake; s ˈ eɪ k
sal; s ˈ æ l
salad; s ˈ æ l ə d
salaries; s ˈ æ l ə ɹ i z
salary; s ˈ æ l ə ɹ i
sale; s ˈ eɪ l
sales; s ˈ eɪ l z
salesman; s ˈ eɪ l z m ə n
salisbury; s ˈ ɔː l z b ə ɹ i
sally; s ˈ æ l i
salmon; s ˈ æ m ə n
salon; s ə l ˈ ɒ n
salsa; s ˈ æ l s ə
salt; s ˈ ɒ l t
salt; s ˈ ɔː l t
salty; s ˈ ɒ l t i
salty; s ˈ ɔː l t i
salvador; s ˈ æ l v ə d ˌ ɔː
salvage; s ˈ æ l v ɪ d͡ʒ
salvation; s ə l v ˈ eɪ ʃ ə n
sam; s ˈ æ m
samantha; s ə m ˈ æ n θ ə
samba; s ˈ æ m b ə
same; s ˈ eɪ m
sammy; s ˈ æ m i
samoa; s ə m ˈ əʊ ə
sample; s ˈ æ m p ə l
samples; s ˈ æ m p ə l z
sampling; s ˈ æ m p l ɪ ŋ
samsung; s ˈ æ m s ˌ ʌ ŋ
samuel; s ˈ æ m j ʊə l
samurai; s ˈ æ m j ʊ ɹ ˌ aɪ
samurai; s ˈ æ m ʊ ɹ ˌ aɪ
san; s ˈ æ n
sanction; s ˈ æ ŋ ʃ ə n
sanction; s ˈ æ ŋ k ʃ ə n
sanctions; s ˈ æ ŋ ʃ ə n z
sanctions; s ˈ æ ŋ k ʃ ə n z
sanctuary; s ˈ æ ŋ k t͡ʃ ʊə ɹ i
sand; s ˈ æ n d
sandra; s ˈ ɑː n d ɹ ə
sandwich; s ˈ æ n w ɪ t͡ʃ
sandwich; s ˈ æ n w ɪ d͡ʒ
sandwiches; s ˈ æ n w ɪ t͡ʃ ɪ z
sandwiches; s ˈ æ n w ɪ d͡ʒ ɪ z
sandy; s ˈ æ n d i
sane; s ˈ eɪ n
sang; s ˈ æ ŋ
sank; s ˈ æ ŋ k
sans; s ˈ æ n z
santa; s ˈ æ n t ə
sanyo; s ˈ æ n j əʊ
san_marino; s ˌ æ n m ə ɹ ˈ iː n ə
sap; s ˈ æ p
sapphire; s ˈ æ f aɪ ə
sara; s ˈ ɛə ɹ ə
sarah; s ˈ ɛə ɹ ə
sarajevo; s ˌ æ ɹ ə j ˈ eɪ v əʊ
sarcasm; s ˈ ɑː k æ z ə m
sarcastic; s ɑː k ˈ æ s t ˈ ɪ k
sash; s ˈ æ ʃ
saskatchewan; s æ s k ˈ æ t͡ʃ ɪ w ə n
sat; s ˈ æ t
satan; s ˈ eɪ t ə n
satellite; s ˈ æ t ə l ˌ aɪ t
satin; s ˈ æ t ɪ n
satisfaction; s ˌ æ t ɪ s f ˈ æ k ʃ ə n
satisfactory; s ˌ æ t ɪ s f ˈ æ k t ɹ i
satisfactory; s ˌ æ t ɪ s f ˈ æ k t ə ɹ i
satisfied; s ˈ æ t ɪ s f ˌ aɪ d
satisfy; s ˈ æ t ɪ s f ˌ aɪ
saturday; s ˈ æ t ə d i
saturday; s ˈ æ t ə d ˌ eɪ
saturdays; s ˈ æ t ə d i z
saturdays; s ˈ æ t ə d eɪ z
saturn; s ˈ æ t ə n
sauce; s ˈ ɔː s
saucepan; s ˈ ɔː s p ˌ æ n
saucer; s ˈ ɔː s ə
saudi; s ˈ aʊ d i
saudi; s ˈ ɔː d i
sauna; s ˈ ɔː n ə
sausage; s ˈ ɒ s ɪ d͡ʒ
sausages; s ˈ ɒ s ɪ d͡ʒ ɪ z
savage; s ˈ æ v ɪ d͡ʒ
savannah; s ə v ˈ æ n ə
save; s ˈ eɪ v
saved; s ˈ eɪ v d
saver; s ˈ eɪ v ə
saves; s ˈ eɪ v z
saving; s ˈ eɪ v ɪ ŋ
savings; s ˈ eɪ v ɪ ŋ z
saw; s ˈ ɔː
sawed; s ˈ ɔː d
sawn; s ˈ ɔː n
say; s ˈ eɪ
saying; s ˈ eɪ ɪ ŋ
says; s ˈ ɛ z
scab; s k ˈ æ b
scald; s k ˈ ɔː l d
scalding; s k ˈ ɔː l d ɪ ŋ
scale; s k ˈ eɪ l
scales; s k ˈ eɪ l z
scalp; s k ˈ æ l p
scam; s k ˈ æ m
scan; s k ˈ æ n
scandal; s k ˈ æ n d ə l
scanned; s k ˈ æ n d
scanner; s k ˈ æ n ə
scanners; s k ˈ æ n ə z
scanning; s k ˈ æ n ɪ ŋ
scant; s k ˈ æ n t
scar; s k ˈ ɑː
scarborough; s k ˈ ɑː b ə ɹ ə
scarce; s k ˈ ɛə s
scarcely; s k ˈ ɛə s l i
scare; s k ˈ ɛə
scared; s k ˈ ɛə d
scarf; s k ˈ ɑː f
scary; s k ˈ ɛə ɹ i
scatter; s k ˈ æ t ə
scenario; s ɪ n ˈ ɑː ɹ ɪ əʊ
scenarios; s ɪ n ˈ ɑː ɹ ɪ əʊ z
scene; s ˈ iː n
scenery; s ˈ iː n ə ɹ i
scenes; s ˈ iː n z
scenic; s ˈ iː n ɪ k
scent; s ˈ ɛ n t
sceptical; s k ˈ ɛ p t ɪ k ə l
schedule; ʃ ˈ ɛ d͡ʒ uː l
schedule; s k ˈ ɛ d͡ʒ uː l
scheduled; ʃ ˈ ɛ d͡ʒ uː l d
scheduled; s k ˈ ɛ d͡ʒ uː l d
schedules; ʃ ˈ ɛ d͡ʒ uː l z
schedules; s k ˈ ɛ d͡ʒ uː l z
scheduling; ʃ ˈ ɛ d͡ʒ uː l ɪ ŋ
scheduling; s k ˈ ɛ d͡ʒ uː l ɪ ŋ
schema; s k ˈ iː m ə
schemas; s k ˈ iː m ə z
scheme; s k ˈ iː m
schemes; s k ˈ iː m z
scholar; s k ˈ ɒ l ə
scholars; s k ˈ ɒ l ə z
scholarship; s k ˈ ɒ l ə ʃ ˌ ɪ p
scholarships; s k ˈ ɒ l ə ʃ ˌ ɪ p s
school; s k ˈ uː l
schools; s k ˈ uː l z
science; s ˈ aɪ ə n s
sciences; s ˈ aɪ ə n s ɪ z
scientific; s ˌ aɪ ə n t ˈ ɪ f ɪ k
scientist; s ˈ aɪ ə n t ɪ s t
scientists; s ˈ aɪ ə n t ɪ s t s
scissors; s ˈ ɪ z ə z
scoff; s k ˈ ɒ f
scoffs; s k ˈ ɒ f s
scold; s k ˈ əʊ l d
scolding; s k ˈ əʊ l d ɪ ŋ
scone; s k ˈ əʊ n
scone; s k ˈ ɒ n
scoop; s k ˈ uː p
scoot; s k ˈ uː t
scooter; s k ˈ uː t ə
scope; s k ˈ əʊ p
score; s k ˈ ɔː
scored; s k ˈ ɔː d
scores; s k ˈ ɔː z
scoring; s k ˈ ɔː ɹ ɪ ŋ
scorn; s k ˈ ɔː n
scot; s k ˈ ɒ t
scotch; s k ˈ ɒ t͡ʃ
scotland; s k ˈ ɒ t l ə n d
scots; s k ˈ ɒ t s
scott; s k ˈ ɒ t
scottish; s k ˈ ɒ t ɪ ʃ
scour; s k ˈ aʊ ə
scourge; s k ˈ ɜː d͡ʒ
scout; s k ˈ aʊ t
scowl; s k ˈ aʊ l
scrap; s k ɹ ˈ æ p
scrape; s k ɹ ˈ eɪ p
scratch; s k ɹ ˈ æ t͡ʃ
scratching; s k ɹ ˈ æ t͡ʃ ɪ ŋ
scream; s k ɹ ˈ iː m
screamed; s k ɹ ˈ iː m d
screaming; s k ɹ ˈ iː m ɪ ŋ
screams; s k ɹ ˈ iː m z
screeching; s k ɹ ˈ iː t͡ʃ ɪ ŋ
screen; s k ɹ ˈ iː n
screening; s k ɹ ˈ iː n ɪ ŋ
screens; s k ɹ ˈ iː n z
screensaver; s k ɹ ˈ iː n s ˌ eɪ v ə
screensavers; s k ɹ ˈ iː n s ˌ eɪ v ə z
screenshot; s k ɹ ˈ iː n ʃ ˌ ɒ t
screenshots; s k ɹ ˈ iː n ʃ ˌ ɒ t s
screw; s k ɹ ˈ uː
screwdriver; s k ɹ ˈ uː d ɹ ˌ aɪ v ə
screwed; s k ɹ ˈ uː d
screwing; s k ɹ ˈ uː ɪ ŋ
screws; s k ɹ ˈ uː z
script; s k ɹ ˈ ɪ p t
scripting; s k ɹ ˈ ɪ p t ɪ ŋ
scripts; s k ɹ ˈ ɪ p t s
scripture; s k ɹ ˈ ɪ p t͡ʃ ə
scriptures; s k ɹ ˈ ɪ p t͡ʃ ə z
scroll; s k ɹ ˈ əʊ l
scrub; s k ɹ ˈ ʌ b
scruffy; s k ɹ ˈ ʌ f i
scrum; s k ɹ ˈ ʌ m
scrumb; s k ɹ ˈ ʌ m
scrutiny; s k ɹ ˈ uː t ɪ n i
scuba; s k j ˈ uː b ə
scud; s k ˈ ʌ d
sculpture; s k ˈ ʌ l p t͡ʃ ə
scum; s k ˈ ʌ m
sea; s ˈ iː
seafood; s ˈ iː f ˌ uː d
seagull; s ˈ iː g ˌ ʌ l
seal; s ˈ iː l
sealed; s ˈ iː l d
seam; s ˈ iː m
sean; ʃ ˈ ɔː n
sear; s ˈ ɪə
search; s ˈ ɜː t͡ʃ
searched; s ˈ ɜː t͡ʃ t
searches; s ˈ ɜː t͡ʃ ɪ z
searching; s ˈ ɜː t͡ʃ ɪ ŋ
seas; s ˈ iː z
season; s ˈ iː z ə n
seasonal; s ˈ iː z ə n ə l
seasons; s ˈ iː z ə n z
seat; s ˈ iː t
seated; s ˈ iː t ɪ d
seating; s ˈ iː t ɪ ŋ
seats; s ˈ iː t s
seattle; s ɪ ˈ æ t ə l
sec; s ˈ ɛ k
second; s ˈ ɛ k ə n d
second; s ɪ k ˈ ɒ n d
secondary; s ˈ ɛ k ə n d ə ɹ i
seconded; s ɪ k ˈ ɒ n d ɪ d
secondly; s ˈ ɛ k ə n d l i
seconds; s ˈ ɛ k ə n d z
seconds; s ɪ k ˈ ɒ n d z
secret; s ˈ iː k ɹ ɪ t
secretariat; s ˌ ɛ k ɹ ɪ t ˈ ɛə ɹ ɪə t
secretaries; s ˈ ɛ k ɹ ɪ t ə ɹ i z
secretary; s ˈ ɛ k ɹ ɪ t ə ɹ i
secrete; s ɪ k ɹ ˈ iː t
secretion; s ɪ k ɹ ˈ iː ʃ ə n
secrets; s ˈ iː k ɹ ɪ t s
sect; s ˈ ɛ k t
section; s ˈ ɛ k ʃ ə n
sections; s ˈ ɛ k ʃ ə n z
sector; s ˈ ɛ k t ə
sectors; s ˈ ɛ k t ə z
secular; s ˈ ɛ k j ʊ l ə
secure; s ɪ k j ˈ ʊə
secured; s ɪ k j ˈ ʊə d
securely; s ɪ k j ˈ ʊə l i
securities; s ɪ k j ˈ ʊə ɹ ɪ t i z
security; s ɪ k j ˈ ʊə ɹ ɪ t i
sediment; s ˈ ɛ d ɪ m ə n t
see; s ˈ iː
seed; s ˈ iː d
seeds; s ˈ iː d z
seedy; s ˈ iː d i
seeing; s ˈ iː ɪ ŋ
seek; s ˈ iː k
seeker; s ˈ iː k ə
seekers; s ˈ iː k ə z
seeking; s ˈ iː k ɪ ŋ
seeks; s ˈ iː k s
seem; s ˈ iː m
seemed; s ˈ iː m d
seemingly; s ˈ iː m ɪ ŋ l i
seems; s ˈ iː m z
seen; s ˈ iː n
seep; s ˈ iː p
sees; s ˈ iː z
sega; s ˈ eɪ g ə
segment; s ˈ ɛ g m ə n t
segment; s ˌ ɛ g m ˈ ɛ n t
segments; s ˈ ɛ g m ə n t s
segments; s ˌ ɛ g m ˈ ɛ n t s
segue; s ˈ ɛ g w eɪ
seize; s ˈ iː z
seizure; s ˈ iː ʒ ə
selby; s ˈ ɛ l b i
seldom; s ˈ ɛ l d ə m
select; s ɪ l ˈ ɛ k t
selected; s ɪ l ˈ ɛ k t ɪ d
selecting; s ɪ l ˈ ɛ k t ɪ ŋ
selection; s ɪ l ˈ ɛ k ʃ ə n
selections; s ɪ l ˈ ɛ k ʃ ə n z
selective; s ɪ l ˈ ɛ k t ɪ v
self; s ˈ ɛ l f
selfish; s ˈ ɛ l f ɪ ʃ
sell; s ˈ ɛ l
seller; s ˈ ɛ l ə
sellers; s ˈ ɛ l ə z
selling; s ˈ ɛ l ɪ ŋ
sells; s ˈ ɛ l z
selves; s ˈ ɛ l v z
semantic; s ɪ m ˈ æ n t ɪ k
semen; s ˈ iː m ə n
semester; s ə m ˈ ɛ s t ə
semi; s ˈ ɛ m i
semi-final; s ˌ ɛ m ɪ f ˈ aɪ n ə l
semiconductor; s ˌ ɛ m ɪ k ə n d ˈ ʌ k t ə
seminar; s ˈ ɛ m ɪ n ˌ ɑː
seminars; s ˈ ɛ m ɪ n ˌ ɑː z
senate; s ˈ ɛ n ɪ t
senator; s ˈ ɛ n ə t ə
senators; s ˈ ɛ n ə t ə z
send; s ˈ ɛ n d
sender; s ˈ ɛ n d ə
sending; s ˈ ɛ n d ɪ ŋ
sends; s ˈ ɛ n d z
